district_char,avg_percent_meets,grant_participant,District Name,District Type,ESC Region,Enrollment,Percent Emergent Bilingual,Percent Economically Disadvantag,TEA Description,Overall Scale Score SY21_22,Overall Rating SY21_22
158901,27,0,BAY CITY ISD,INDEPENDENT,03,3579,0.2101145571,0.7991058955,Independent Town,93,A
158902,72.8,0,TIDEHAVEN ISD,INDEPENDENT,03,1045,0.1435406699,0.6277511962,Non-metropolitan Stable,91,A
158904,39.3,0,MATAGORDA ISD,INDEPENDENT,03,89,0.0674157303,0.6853932584,Rural,77,C
158905,54.6,0,PALACIOS ISD,INDEPENDENT,03,1300,0.2623076923,0.6984615385,Non-metropolitan Stable,90,A
158906,43.2,0,VAN VLECK ISD,INDEPENDENT,03,1071,0.0410830999,0.5592903828,Non-metropolitan Stable,80,B
159901,37,0,EAGLE PASS ISD,INDEPENDENT,20,13935,0.6312881234,0.8234660926,Other Central City Suburban,80,B
160901,43.9,0,BRADY ISD,INDEPENDENT,15,956,0.039748954,0.6569037657,Non-metropolitan Stable,91,A
160904,63.1,0,ROCHELLE ISD,INDEPENDENT,15,211,0,0.5450236967,Rural,96,A
160905,25.7,0,LOHN ISD,INDEPENDENT,15,131,0.0076335878,0.8015267176,Rural,52,Not Rated: SB 1365
161801,8.8,0,WACO CHARTER SCHOOL,CHARTER,12,175,0.3257142857,0.8571428571,Charter School Districts,57,Not Rated: SB 1365
161802,16.8,0,RAPOPORT ACADEMY PUBLIC SCHOOL,CHARTER,12,859,0.115250291,0.7345750873,Charter School Districts,93,A
161807,25.9,1,HARMONY PUBLIC SCHOOLS - NORTH TEXAS,CHARTER,12,10249,0.375548834,0.6776270856,Charter School Districts,93,A
161901,54.8,0,CRAWFORD ISD,INDEPENDENT,12,593,0.0134907251,0.1635750422,Rural,66,Not Rated: SB 1365
161903,64.5,0,MIDWAY ISD,INDEPENDENT,12,8739,0.070030896,0.3739558302,Other Central City Suburban,92,A
161906,21.6,1,LA VEGA ISD,INDEPENDENT,12,3017,0.2837255552,0.9313887968,Other Central City Suburban,90,A
161907,62,0,LORENA ISD,INDEPENDENT,12,1807,0.0287769784,0.309352518,Non-metropolitan Stable,93,A
161908,46.3,0,MART ISD,INDEPENDENT,12,588,0.0391156463,0.7074829932,Rural,93,A
161909,36.7,0,MCGREGOR ISD,INDEPENDENT,12,1503,0.2255489022,0.6360612109,Non-metropolitan Stable,79,C
161910,42.4,0,MOODY ISD,INDEPENDENT,12,722,0.0997229917,0.6315789474,Rural,91,A
161912,62.5,1,RIESEL ISD,INDEPENDENT,12,656,0.0487804878,0.5274390244,Rural,94,A
161914,16.7,0,WACO ISD,INDEPENDENT,12,13824,0.2766927083,0.8966290509,Other Central City,76,C
161916,63.1,0,WEST ISD,INDEPENDENT,12,1265,0.0545454545,0.4063241107,Non-metropolitan Stable,92,A
161918,48.2,0,AXTELL ISD,INDEPENDENT,12,836,0.0251196172,0.5562200957,Rural,93,A
161919,43.4,0,BRUCEVILLE-EDDY ISD,INDEPENDENT,12,588,0.0884353741,0.5986394558,Rural,91,A
161920,54,1,CHINA SPRING ISD,INDEPENDENT,12,3010,0.0352159468,0.3455149502,Other Central City Suburban,89,B
161921,23.4,0,CONNALLY ISD,INDEPENDENT,12,2332,0.1355060034,0.8361921098,Other Central City Suburban,89,B
161922,59.1,0,ROBINSON ISD,INDEPENDENT,12,2401,0.0258225739,0.4273219492,Other Central City Suburban,91,A
161923,40.4,0,BOSQUEVILLE ISD,INDEPENDENT,12,720,0.0402777778,0.4027777778,Rural,91,A
161924,26.9,0,HALLSBURG ISD,INDEPENDENT,12,146,0.0616438356,0.4452054795,Rural,81,B
161925,29,0,GHOLSON ISD,INDEPENDENT,12,263,0.0570342205,0.6615969582,Rural,91,A
162904,78.5,0,MCMULLEN COUNTY ISD,INDEPENDENT,02,282,0.0177304965,0.2907801418,Rural,90,A
163901,38.8,0,DEVINE ISD,INDEPENDENT,20,2007,0.0627802691,0.571998007,Non-metropolitan Stable,82,B
163902,77,0,D'HANIS ISD,INDEPENDENT,20,284,0.0035211268,0.3908450704,Rural,81,B
163903,34.3,0,NATALIA ISD,INDEPENDENT,20,1170,0.1247863248,0.7393162393,Non-metropolitan Stable,92,A
163904,34.1,0,HONDO ISD,INDEPENDENT,20,1772,0.0248306998,0.6930022573,Non-metropolitan Stable,91,A
163908,54.2,1,MEDINA VALLEY ISD,INDEPENDENT,20,7823,0.0764412629,0.5557970088,Major Suburban,94,A
164901,32.3,0,MENARD ISD,INDEPENDENT,15,288,0.0486111111,0.6805555556,Rural,91,A
165802,57.7,0,MIDLAND ACADEMY CHARTER SCHOOL,CHARTER,18,385,0.0415584416,0.4415584416,Charter School Districts,88,B
165901,33.1,1,MIDLAND ISD,INDEPENDENT,18,27842,0.2021406508,0.5533007686,Other Central City,75,C
165902,36.7,0,GREENWOOD ISD,INDEPENDENT,18,3140,0.1321656051,0.3875796178,Other Central City Suburban,89,B
166901,30.8,1,CAMERON ISD,INDEPENDENT,06,1554,0.1583011583,0.7451737452,Non-metropolitan Stable,91,A
166902,37.7,0,GAUSE ISD,INDEPENDENT,06,154,0.1103896104,0.6753246753,Rural,86,B
166903,72.2,0,MILANO ISD,INDEPENDENT,06,403,0.0794044665,0.5310173697,Rural,91,A
166904,30.3,0,ROCKDALE ISD,INDEPENDENT,06,1488,0.1344086022,0.6875,Non-metropolitan Stable,84,B
166905,46.2,0,THORNDALE ISD,INDEPENDENT,13,617,0.1296596434,0.4554294976,Rural,85,B
166907,4.8,0,BUCKHOLTS ISD,INDEPENDENT,12,110,0.1181818182,0.9090909091,Rural,80,B
167901,50.3,0,GOLDTHWAITE ISD,INDEPENDENT,12,537,0.0577281192,0.4394785847,Rural,90,A
167902,17,0,MULLIN ISD,INDEPENDENT,12,193,0.0829015544,0.932642487,Rural,93,A
167904,31.4,0,PRIDDY ISD,INDEPENDENT,12,121,0,0.4628099174,Rural,92,A
168901,27.4,0,COLORADO ISD,INDEPENDENT,14,949,0.0505795574,0.6417281349,Non-metropolitan Stable,79,C
168902,66.4,0,LORAINE ISD,INDEPENDENT,14,140,0.0214285714,0.6214285714,Rural,81,B
168903,39.4,0,WESTBROOK ISD,INDEPENDENT,14,255,0,0.4784313725,Rural,85,B
169901,33.6,0,BOWIE ISD,INDEPENDENT,09,1644,0.0851581509,0.549270073,Non-metropolitan Stable,81,B
169902,55.8,0,NOCONA ISD,INDEPENDENT,09,804,0.1803482587,0.6007462687,Rural,90,A
169906,29.2,0,GOLD BURG ISD,INDEPENDENT,09,154,0.0714285714,0.6103896104,Rural,81,B
169908,67.7,0,MONTAGUE ISD,INDEPENDENT,09,151,0.0132450331,0.4768211921,Rural,85,B
169909,37.5,0,PRAIRIE VALLEY ISD,INDEPENDENT,09,128,0,0.6328125,Rural,94,A
169910,13.6,0,FORESTBURG ISD,INDEPENDENT,09,185,0,0.5135135135,Rural,91,A
169911,54.3,0,SAINT JO ISD,INDEPENDENT,09,345,0.0057971014,0.4550724638,Non-metropolitan Fast Growing,89,B
170801,1.5,0,TEXAS SERENITY ACADEMY,CHARTER,04,179,0.2905027933,0.9888268156,Charter School Districts,49,Not Rated: SB 1365
170802,0,0,THRIVE CENTER FOR SUCCESS,CHARTER,06,92,0,0.1847826087,,,
170902,44.2,0,CONROE ISD,INDEPENDENT,06,70783,0.2259299549,0.4387635449,Other Central City,89,B
170903,60.8,0,MONTGOMERY ISD,INDEPENDENT,06,9748,0.0445219532,0.2805703734,Other Central City Suburban,83,B
170904,20.4,1,WILLIS ISD,INDEPENDENT,06,8793,0.1969748664,0.6168543159,Other Central City Suburban,76,C
170906,40.3,0,MAGNOLIA ISD,INDEPENDENT,06,14046,0.2244055247,0.4782856329,Other Central City Suburban,93,A
170907,26.5,0,SPLENDORA ISD,INDEPENDENT,06,4866,0.2766132347,0.6233045623,Other Central City Suburban,75,C
170908,27.2,0,NEW CANEY ISD,INDEPENDENT,06,18344,0.431694287,0.741277802,Other Central City Suburban,83,B
171901,34.8,1,DUMAS ISD,INDEPENDENT,16,4192,0.4716125954,0.6796278626,Non-metropolitan Stable,79,C
171902,53.8,0,SUNRAY COLLEGIATE ISD,INDEPENDENT,16,675,0.2444444444,0.5496296296,Rural,93,A
172902,33.1,0,DAINGERFIELD-LONE STAR ISD,INDEPENDENT,08,1013,0.1145113524,0.85982231,Non-metropolitan Stable,93,A
172905,49.4,0,PEWITT CISD,INDEPENDENT,08,833,0.0900360144,0.7370948379,Rural,91,A
173901,35.6,0,MOTLEY COUNTY ISD,INDEPENDENT,17,166,0,0.6445783133,Rural,88,B
174801,74.7,0,STEPHEN F AUSTIN STATE UNIVERSITY CHARTER SCHOOL,CHARTER,07,252,0.0238095238,0.0714285714,Charter School Districts,87,B
174901,33.4,0,CHIRENO ISD,INDEPENDENT,07,404,0.1212871287,0.6608910891,Rural,87,B
174902,53,0,CUSHING ISD,INDEPENDENT,07,547,0.0749542962,0.6800731261,Rural,93,A
174903,52.7,0,GARRISON ISD,INDEPENDENT,07,760,0.0315789474,0.5421052632,Rural,92,A
174904,24.1,1,NACOGDOCHES ISD,INDEPENDENT,07,5943,0.3388860845,0.8451960289,Independent Town,79,C
174906,42.6,0,WODEN ISD,INDEPENDENT,07,835,0.1173652695,0.6275449102,Rural,93,A
174908,56,0,CENTRAL HEIGHTS ISD,INDEPENDENT,07,1104,0.0824275362,0.4030797101,Non-metropolitan Stable,93,A
174909,33.7,0,MARTINSVILLE ISD,INDEPENDENT,07,323,0.092879257,0.6470588235,Rural,84,B
174911,68.4,0,DOUGLASS ISD,INDEPENDENT,07,436,0.0802752294,0.3853211009,Rural,79,C
175902,48.1,0,BLOOMING GROVE ISD,INDEPENDENT,12,920,0.2076086957,0.5934782609,Non-metropolitan Stable,90,A
175903,36.3,1,CORSICANA ISD,INDEPENDENT,12,6096,0.3415354331,0.7941272966,Independent Town,83,B
175904,45.9,0,DAWSON ISD,INDEPENDENT,12,546,0.1172161172,0.7271062271,Rural,93,A
175905,43.1,0,FROST ISD,INDEPENDENT,12,458,0.1943231441,0.5611353712,Rural,63,Not Rated: SB 1365
175907,38.8,0,KERENS ISD,INDEPENDENT,12,570,0.1210526316,0.7614035088,Rural,91,A
175910,54.4,0,MILDRED ISD,INDEPENDENT,12,848,0.0601415094,0.5106132075,Rural,91,A
175911,45.7,0,RICE ISD,INDEPENDENT,12,1036,0.4276061776,0.7567567568,Non-metropolitan Stable,94,A
176901,29,0,BURKEVILLE ISD,INDEPENDENT,05,229,0,0.8602620087,Rural,82,B
176902,31,0,NEWTON ISD,INDEPENDENT,05,968,0.0020661157,0.7747933884,Non-metropolitan Stable,88,B
176903,41.4,0,DEWEYVILLE ISD,INDEPENDENT,05,548,0.0054744526,0.5930656934,Rural,81,B
177901,12.9,0,ROSCOE COLLEGIATE ISD,INDEPENDENT,14,6191,0.0810854466,0.6554676143,Rural,89,B
177902,35.8,0,SWEETWATER ISD,INDEPENDENT,14,1942,0.035015448,0.7276004119,Non-metropolitan Stable,90,A
177903,46.3,0,BLACKWELL CISD,INDEPENDENT,14,152,0.0197368421,0.3552631579,Rural,90,A
177905,80.2,0,HIGHLAND ISD,INDEPENDENT,14,226,0,0.2477876106,Rural,91,A
178801,24,0,DR M L GARZA-GONZALEZ CHARTER SCHOOL,CHARTER,02,180,0.1444444444,0.9555555556,Charter School Districts,76,C
178807,20.4,0,CORPUS CHRISTI MONTESSORI SCHOOL,CHARTER,02,138,0.0507246377,0.3115942029,Charter School Districts,51,Not Rated: SB 1365
178808,46.2,0,SEASHORE CHARTER SCHOOLS,CHARTER,02,464,0.0150862069,0,Charter School Districts,58,Not Rated: SB 1365
178901,26.4,0,AGUA DULCE ISD,INDEPENDENT,02,408,0.012254902,0.7647058824,Rural,87,B
178902,60.9,0,BISHOP CISD,INDEPENDENT,02,1410,0.0531914894,0.6517730496,Non-metropolitan Stable,87,B
178903,56,1,CALALLEN ISD,INDEPENDENT,02,3952,0.0473178138,0.5549089069,Non-metropolitan Stable,86,B
178904,33.2,0,CORPUS CHRISTI ISD,INDEPENDENT,02,33387,0.0979123611,0.7279779555,Other Central City,87,B
178905,40.8,0,DRISCOLL ISD,INDEPENDENT,02,287,0.0452961672,0.9163763066,Rural,90,A
178906,68.8,0,LONDON ISD,INDEPENDENT,02,1578,0.0215462611,0.1742712294,Other Central City Suburban,83,B
178908,49.6,0,PORT ARANSAS ISD,INDEPENDENT,02,546,0.0274725275,0.2838827839,Rural,93,A
178909,27.2,1,ROBSTOWN ISD,INDEPENDENT,02,2543,0.0467951239,0.9103421156,Non-metropolitan Stable,90,A
178912,40.1,1,TULOSO-MIDWAY ISD,INDEPENDENT,02,3655,0.0943912449,0.6503419973,Other Central City Suburban,67,Not Rated: SB 1365
178913,43.5,0,BANQUETE ISD,INDEPENDENT,02,843,0.0367734282,0.7259786477,Rural,92,A
178914,54.3,0,FLOUR BLUFF ISD,INDEPENDENT,02,5732,0.0413468248,0.4865666434,Other Central City Suburban,90,A
178915,28.7,0,WEST OSO ISD,INDEPENDENT,02,1929,0.1016070503,0.9035769829,Other Central City Suburban,85,B
179901,54.1,1,PERRYTON ISD,INDEPENDENT,16,2008,0.4606573705,0.6135458167,Non-metropolitan Stable,90,A
180901,50,0,BOYS RANCH ISD,INDEPENDENT,16,164,0.0426829268,0.6524390244,Rural,,Not Rated
180902,83.2,0,VEGA ISD,INDEPENDENT,16,370,0.0648648649,0.2675675676,Rural,91,A
180903,35.7,0,ADRIAN ISD,INDEPENDENT,16,120,0.1083333333,0.65,Rural,93,A
180904,37.7,0,WILDORADO ISD,INDEPENDENT,16,232,0.0043103448,0.25,Rural,79,C
181901,48.2,0,BRIDGE CITY ISD,INDEPENDENT,05,3144,0.0986005089,0.417302799,Independent Town,74,C
181905,46.3,0,ORANGEFIELD ISD,INDEPENDENT,05,1856,0.0317887931,0.3663793103,Other Central City Suburban,70,C
181906,14,0,WEST ORANGE-COVE CISD,INDEPENDENT,05,2618,0.0870893812,0.9205500382,Non-metropolitan Stable,85,B
181907,43.1,0,VIDOR ISD,INDEPENDENT,05,4315,0.0261877173,0.6034762457,Other Central City Suburban,87,B
181908,33,0,LITTLE CYPRESS-MAURICEVILLE CISD,INDEPENDENT,05,3340,0.0494011976,0.5107784431,Independent Town,79,C
182901,18.8,0,GORDON ISD,INDEPENDENT,11,239,0.0920502092,0.589958159,Rural,84,B
182902,29.1,0,GRAFORD ISD,INDEPENDENT,11,321,0.0872274143,0.5576323988,Rural,88,B
182903,38.2,0,MINERAL WELLS ISD,INDEPENDENT,11,3352,0.1649761337,0.7711813842,Independent Town,89,B
182904,70,0,SANTO ISD,INDEPENDENT,11,546,0.0604395604,0.3956043956,Rural,93,A
182905,32.4,0,STRAWN ISD,INDEPENDENT,11,174,0.1609195402,0.6379310345,Rural,90,A
182906,93.3,0,PALO PINTO ISD,INDEPENDENT,11,97,0.0103092784,0.5360824742,Rural,92,A
183901,47.6,0,BECKVILLE ISD,INDEPENDENT,07,686,0.0393586006,0.4373177843,Rural,91,A
183902,39.6,0,CARTHAGE ISD,INDEPENDENT,07,2621,0.0995803129,0.587943533,Non-metropolitan Stable,93,A
183904,43.3,0,GARY ISD,INDEPENDENT,07,493,0.0304259635,0.6876267748,Rural,79,C
184901,38.6,0,POOLVILLE ISD,INDEPENDENT,11,722,0.1163434903,0.4889196676,Rural,91,A
184902,44.2,0,SPRINGTOWN ISD,INDEPENDENT,11,4120,0.1014563107,0.4888349515,Other Central City Suburban,74,C
184903,32,0,WEATHERFORD ISD,INDEPENDENT,11,8255,0.1092671108,0.4737734706,Other Central City,86,B
184904,47.1,0,MILLSAP ISD,INDEPENDENT,11,1099,0.0400363967,0.4722474977,Other Central City Suburban,93,A
184907,68.1,0,ALEDO ISD,INDEPENDENT,11,7857,0.0371643121,0.1552755505,Major Suburban,81,B
184908,44.1,0,PEASTER ISD,INDEPENDENT,11,1750,0.0331428571,0.2714285714,Other Central City Suburban,75,C
184909,70.6,0,BROCK ISD,INDEPENDENT,11,2085,0.0220623501,0.0393285372,Other Central City Suburban,83,B
184911,45.8,0,GARNER ISD,INDEPENDENT,11,323,0.0712074303,0.5448916409,Rural,75,C
185901,25.4,0,BOVINA ISD,INDEPENDENT,16,425,0.3482352941,0.8541176471,Rural,93,A
185902,68.3,0,FARWELL ISD,INDEPENDENT,16,606,0.1848184818,0.5594059406,Rural,83,B
185903,17.8,0,FRIONA ISD,INDEPENDENT,16,1063,0.4355597366,0.6792097836,Non-metropolitan Stable,91,A
185904,27.2,0,LAZBUDDIE ISD,INDEPENDENT,16,130,0.2153846154,0.6923076923,Rural,83,B
186901,41.8,0,BUENA VISTA ISD,INDEPENDENT,18,251,0.1912350598,0.561752988,Rural,88,B
186902,36.8,0,FORT STOCKTON ISD,INDEPENDENT,18,2187,0.1481481481,0.7055326932,Non-metropolitan Stable,80,B
186903,36.5,0,IRAAN-SHEFFIELD COLLEGIATE ISD,INDEPENDENT,18,335,0.1880597015,0.6029850746,Rural,87,B
187901,59.5,0,BIG SANDY ISD,INDEPENDENT,06,512,0.001953125,0.625,Rural,92,A
187903,27.6,0,GOODRICH ISD,INDEPENDENT,06,262,0.2061068702,0.8435114504,Rural,65,Not Rated: SB 1365
187904,41.8,0,CORRIGAN-CAMDEN ISD,INDEPENDENT,06,836,0.1519138756,0.6866028708,Rural,91,A
187906,11.4,0,LEGGETT ISD,INDEPENDENT,06,223,0.0358744395,0.8295964126,Rural,70,C
187907,48.7,0,LIVINGSTON ISD,INDEPENDENT,06,4061,0.1218911598,0.6542723467,Independent Town,81,B
187910,47.4,0,ONALASKA ISD,INDEPENDENT,06,1239,0.0217917676,0.6521388216,Non-metropolitan Stable,90,A
188901,38.9,0,AMARILLO ISD,INDEPENDENT,16,30342,0.2216070134,0.7105002966,Other Central City,91,A
188902,35.6,0,RIVER ROAD ISD,INDEPENDENT,16,1297,0.0717039322,0.6707787201,Other Central City Suburban,83,B
188903,55.9,0,HIGHLAND PARK ISD,INDEPENDENT,16,789,0.1089987326,0.5019011407,Non-metropolitan Stable,92,A
188904,54.4,0,BUSHLAND ISD,INDEPENDENT,16,1511,0.0112508273,0.1568497684,Other Central City Suburban,90,A
189901,30,0,MARFA ISD,INDEPENDENT,18,233,0.2832618026,0.4849785408,Rural,65,Not Rated: SB 1365
189902,20.2,0,PRESIDIO ISD,INDEPENDENT,18,1020,0.7833333333,0.937254902,Non-metropolitan Stable,93,A
190903,24.3,0,RAINS ISD,INDEPENDENT,07,1754,0.0963511973,0.6248574686,Non-metropolitan Stable,73,C
191901,59.3,0,CANYON ISD,INDEPENDENT,16,11075,0.046772009,0.3636117381,Other Central City,91,A
192901,39,0,REAGAN COUNTY ISD,INDEPENDENT,18,801,0.191011236,0.6367041199,Rural,90,A
193801,10.3,0,BIG SPRINGS CHARTER SCHOOL,CHARTER,20,211,0.0236966825,0.8530805687,Charter School Districts,52,Not Rated: SB 1365
193902,22.6,0,LEAKEY ISD,INDEPENDENT,20,361,0.0692520776,0.5152354571,Rural,85,B
194902,69,0,AVERY ISD,INDEPENDENT,08,335,0.0119402985,0.6358208955,Rural,95,A
194903,51.2,0,RIVERCREST ISD,INDEPENDENT,08,700,0.0728571429,0.6714285714,Rural,92,A
194904,15.2,0,CLARKSVILLE ISD,INDEPENDENT,08,522,0.1111111111,0.9482758621,Rural,79,C
194905,25,0,DETROIT ISD,INDEPENDENT,08,490,0.0040816327,0.706122449,Rural,94,A
195901,32.4,0,PECOS-BARSTOW-TOYAH ISD,INDEPENDENT,18,2776,0.196685879,0.7193804035,Non-metropolitan Stable,87,B
195902,15.2,0,BALMORHEA ISD,INDEPENDENT,18,144,0.1319444444,0.8263888889,Rural,89,B
196901,61.9,0,AUSTWELL-TIVOLI ISD,INDEPENDENT,03,144,0.0208333333,0.5902777778,Rural,88,B
196902,29.1,0,WOODSBORO ISD,INDEPENDENT,03,427,0.0093676815,0.5995316159,Rural,84,B
196903,21.7,0,REFUGIO ISD,INDEPENDENT,03,654,0.0749235474,0.6788990826,Rural,83,B
197902,31.8,0,MIAMI ISD,INDEPENDENT,16,206,0.0097087379,0.3689320388,Rural,87,B
198901,47.2,0,BREMOND ISD,INDEPENDENT,06,508,0.0511811024,0.5590551181,Rural,78,C
198902,4.2,1,CALVERT ISD,INDEPENDENT,06,134,0.0597014925,0.9179104478,Rural,91,A
198903,70.7,1,FRANKLIN ISD,INDEPENDENT,06,1353,0.0502586844,0.3983739837,Other Central City Suburban,90,A
198905,9,0,HEARNE ISD,INDEPENDENT,06,751,0.241011984,0.9467376831,Rural,86,B
198906,72.7,0,MUMFORD ISD,INDEPENDENT,06,600,0.2466666667,0.6366666667,Rural,88,B
199901,55.7,0,ROCKWALL ISD,INDEPENDENT,10,18384,0.1183093995,0.2764904265,Other Central City,81,B
199902,42,0,ROYSE CITY ISD,INDEPENDENT,10,8521,0.1916441732,0.4213120526,Other Central City Suburban,93,A
200901,41.3,0,BALLINGER ISD,INDEPENDENT,15,817,0.0281517748,0.6009791922,Rural,78,C
200902,62.2,0,MILES ISD,INDEPENDENT,15,512,0.1328125,0.40625,Rural,96,A
200904,46.3,0,WINTERS ISD,INDEPENDENT,15,561,0.0374331551,0.7040998217,Rural,94,A
200906,26.7,0,OLFEN ISD,INDEPENDENT,15,132,0.0151515152,0.7575757576,Rural,94,A
201902,32.5,0,HENDERSON ISD,INDEPENDENT,07,3400,0.1844117647,0.6273529412,Independent Town,69,Not Rated: SB 1365
201903,24.2,0,LANEVILLE ISD,INDEPENDENT,07,150,0.18,0.7266666667,Rural,94,A
201904,36.5,0,LEVERETTS CHAPEL ISD,INDEPENDENT,07,234,0.3076923077,0.7136752137,Rural,95,A
201907,71,0,MOUNT ENTERPRISE ISD,INDEPENDENT,07,496,0.0625,0.6612903226,Rural,94,A
201908,49.3,0,OVERTON ISD,INDEPENDENT,07,494,0.028340081,0.6902834008,Rural,70,C
201910,54,1,TATUM ISD,INDEPENDENT,07,1476,0.195799458,0.5962059621,Other Central City Suburban,88,B
201913,45.1,0,CARLISLE ISD,INDEPENDENT,07,623,0.4109149278,0.823434992,Rural,93,A
201914,36.2,0,WEST RUSK COUNTY CONSOLIDATED ISD,INDEPENDENT,07,1048,0.1354961832,0.7547709924,Non-metropolitan Stable,82,B
202903,40.2,0,HEMPHILL ISD,INDEPENDENT,07,840,0.0178571429,0.6369047619,Non-metropolitan Stable,79,C
202905,49.3,0,WEST SABINE ISD,INDEPENDENT,07,608,0.0082236842,0.7220394737,Rural,90,A
203901,29.6,0,SAN AUGUSTINE ISD,INDEPENDENT,07,657,0.197869102,0.8614916286,Rural,79,C
203902,50.7,0,BROADDUS ISD,INDEPENDENT,07,383,0.0365535248,0.7937336815,Rural,95,A
204901,26.3,0,COLDSPRING-OAKHURST CISD,INDEPENDENT,06,1622,0.0234278668,0.620838471,Independent Town,69,Not Rated: SB 1365
204904,33.8,1,SHEPHERD ISD,INDEPENDENT,06,1958,0.2487231869,0.8192032686,Independent Town,90,A
205901,22.6,0,ARANSAS PASS ISD,INDEPENDENT,02,1700,0.0970588235,0.6611764706,Other Central City Suburban,68,Not Rated: SB 1365
205902,56.6,0,GREGORY-PORTLAND ISD,INDEPENDENT,02,4937,0.0702855985,0.5126595098,Other Central City Suburban,85,B
205903,38.5,0,INGLESIDE ISD,INDEPENDENT,02,2023,0.1057834899,0.6693030153,Other Central City Suburban,90,A
205904,40.5,0,MATHIS ISD,INDEPENDENT,02,1485,0.0276094276,0.8525252525,Non-metropolitan Stable,79,C
205905,35.9,0,ODEM-EDROY ISD,INDEPENDENT,02,897,0.0289855072,0.6778149387,Rural,91,A
205906,46.8,0,SINTON ISD,INDEPENDENT,02,2071,0.0202800579,0.7006277161,Non-metropolitan Stable,92,A
205907,41.2,0,TAFT ISD,INDEPENDENT,02,822,0.0279805353,0.8795620438,Non-metropolitan Stable,91,A
206901,52.3,0,SAN SABA ISD,INDEPENDENT,15,684,0.2850877193,0.7485380117,Rural,83,B
206902,39.3,0,RICHLAND SPRINGS ISD,INDEPENDENT,15,139,0.0215827338,0.5755395683,Rural,77,C
206903,38.9,0,CHEROKEE ISD,INDEPENDENT,15,139,0.0071942446,0.5971223022,Rural,83,B
207901,37.6,0,SCHLEICHER ISD,INDEPENDENT,15,476,0.1428571429,0.6575630252,Rural,92,A
208901,36.2,0,HERMLEIGH ISD,INDEPENDENT,14,243,0.0699588477,0.4567901235,Rural,78,C
208902,32.2,1,SNYDER ISD,INDEPENDENT,14,2560,0.148046875,0.715234375,Non-metropolitan Stable,93,A
208903,46.7,1,IRA ISD,INDEPENDENT,14,267,0.0262172285,0.2359550562,Rural,87,B
209901,57.4,0,ALBANY ISD,INDEPENDENT,14,498,0.0321285141,0.4417670683,Rural,88,B
209902,37.1,0,MORAN ISD,INDEPENDENT,14,106,0,0.8962264151,Rural,78,C
210901,38.4,1,CENTER ISD,INDEPENDENT,07,2491,0.3942191891,0.7767964673,Non-metropolitan Stable,92,A
210902,52.5,0,JOAQUIN ISD,INDEPENDENT,07,711,0.0829817159,0.6258790436,Rural,94,A
210903,62.2,1,SHELBYVILLE ISD,INDEPENDENT,07,831,0.0541516245,0.5703971119,Rural,86,B
210904,48.6,0,TENAHA ISD,INDEPENDENT,07,455,0.3582417582,0.9208791209,Rural,91,A
210905,42.6,0,TIMPSON ISD,INDEPENDENT,07,705,0.0865248227,0.6425531915,Rural,90,A
210906,15.3,0,EXCELSIOR ISD,INDEPENDENT,07,74,0.027027027,0.7567567568,Rural,63,Not Rated: SB 1365
211901,61.9,0,TEXHOMA ISD,INDEPENDENT,16,172,0.3023255814,0.6162790698,Rural,90,A
211902,44.5,0,STRATFORD ISD,INDEPENDENT,16,575,0.3130434783,0.6017391304,Rural,90,A
212801,33.7,0,CUMBERLAND ACADEMY,CHARTER,07,2037,0.0849288169,0.3868433972,Charter School Districts,67,Not Rated: SB 1365
212804,53.3,0,UT TYLER UNIVERSITY ACADEMY,CHARTER,07,872,0.0538990826,0.2844036697,Charter School Districts,95,A
212901,36,0,ARP ISD,INDEPENDENT,07,985,0.0456852792,0.5461928934,Rural,91,A
212902,63.7,0,BULLARD ISD,INDEPENDENT,07,2886,0.0395010395,0.3083853084,Other Central City Suburban,91,A
212903,68.1,0,LINDALE ISD,INDEPENDENT,07,4469,0.059297382,0.4473036473,Other Central City Suburban,92,A
212904,49.4,0,TROUP ISD,INDEPENDENT,07,1087,0.0515179393,0.5390984361,Non-metropolitan Stable,94,A
212905,31.2,1,TYLER ISD,INDEPENDENT,07,18328,0.2963771279,0.7582387604,Other Central City,91,A
212906,70.7,0,WHITEHOUSE ISD,INDEPENDENT,07,4916,0.0663140765,0.5032546786,Other Central City Suburban,92,A
212909,50.7,0,CHAPEL HILL ISD,INDEPENDENT,07,3308,0.2956469166,0.792019347,Other Central City Suburban,89,B
212910,26.5,0,WINONA ISD,INDEPENDENT,07,1104,0.2001811594,0.8695652174,Other Central City Suburban,92,A
213901,56.2,0,GLEN ROSE ISD,INDEPENDENT,11,1967,0.1108286731,0.4295882054,Non-metropolitan Stable,91,A
214901,38,1,RIO GRANDE CITY GRULLA ISD,INDEPENDENT,01,9644,0.8524471174,0.9627747822,Other Central City Suburban,94,A
214902,33.2,0,SAN ISIDRO ISD,INDEPENDENT,01,181,0.2154696133,0.9889502762,Rural,91,A
214903,77.2,1,ROMA ISD,INDEPENDENT,01,5977,0.8880709386,0.8591266522,Non-metropolitan Stable,90,A
215901,46.5,0,BRECKENRIDGE ISD,INDEPENDENT,14,1409,0.0986515259,0.6884315117,Non-metropolitan Stable,91,A
216901,47.8,0,STERLING CITY ISD,INDEPENDENT,15,351,0.1168091168,0.4700854701,Rural,94,A
