district_char,avg_percent_meets,grant_participant,District Name,District Type,ESC Region,Enrollment,Percent Emergent Bilingual,Percent Economically Disadvantag,TEA Description,Overall Scale Score SY21_22,Overall Rating SY21_22
075906,53.3,0,FAYETTEVILLE ISD,INDEPENDENT,13,302,0.0894039735,0.2284768212,Rural,87,B
075908,56.5,0,ROUND TOP-CARMINE ISD,INDEPENDENT,13,254,0.1496062992,0.3503937008,Rural,89,B
076903,35.6,1,ROBY CISD,INDEPENDENT,14,319,0.0407523511,0.5454545455,Rural,83,B
076904,46.2,0,ROTAN ISD,INDEPENDENT,14,262,0.0496183206,0.6946564885,Rural,88,B
077901,58.4,0,FLOYDADA COLLEGIATE ISD,INDEPENDENT,17,684,0.0847953216,0.7719298246,Rural,93,A
077902,33.6,1,LOCKNEY ISD,INDEPENDENT,17,407,0.0491400491,0.7936117936,Rural,85,B
078901,35,0,CROWELL ISD,INDEPENDENT,09,197,0.0101522843,0.6497461929,Rural,92,A
079901,37.4,0,LAMAR CISD,INDEPENDENT,04,42461,0.2410211724,0.4778267116,Other Central City Suburban,88,B
079906,67.2,0,NEEDVILLE ISD,INDEPENDENT,04,3553,0.1947649873,0.4449760766,Non-metropolitan Stable,90,A
079907,35.8,1,FORT BEND ISD,INDEPENDENT,04,79660,0.2909615867,0.5028872709,Major Suburban,89,B
079910,33.8,1,STAFFORD MSD,INDEPENDENT,04,3641,0.2795935183,0.7703927492,Non-metropolitan Stable,89,B
080901,49.6,0,MOUNT VERNON ISD,INDEPENDENT,08,1571,0.1737746658,0.6823679185,Non-metropolitan Stable,92,A
081902,45.2,1,FAIRFIELD ISD,INDEPENDENT,12,1662,0.1179302046,0.6167268351,Non-metropolitan Stable,92,A
081904,58.3,0,TEAGUE ISD,INDEPENDENT,12,1216,0.1398026316,0.6291118421,Non-metropolitan Stable,92,A
081905,36.8,0,WORTHAM ISD,INDEPENDENT,12,552,0.097826087,0.5760869565,Rural,88,B
081906,60.8,0,DEW ISD,INDEPENDENT,12,137,0.0437956204,0.6350364964,Rural,86,B
082902,15.6,1,DILLEY ISD,INDEPENDENT,20,899,0.0589543938,0.8142380423,Non-metropolitan Stable,92,A
082903,28.8,0,PEARSALL ISD,INDEPENDENT,20,2026,0.0705824284,0.8445212241,Non-metropolitan Stable,90,A
083901,24,0,SEAGRAVES ISD,INDEPENDENT,17,505,0.2792079208,0.7841584158,Rural,86,B
083902,56.8,1,LOOP ISD,INDEPENDENT,17,157,0.1146496815,0.5732484076,Rural,92,A
083903,37.4,1,SEMINOLE ISD,INDEPENDENT,17,3011,0.2049153105,0.5792095649,Non-metropolitan Stable,90,A
084802,16.4,1,ODYSSEY ACADEMY INC,CHARTER,04,1573,0.2415766052,0.8029243484,Charter School Districts,92,A
084804,45.5,0,AMBASSADORS PREPARATORY ACADEMY,CHARTER,04,170,0,0.8882352941,Charter School Districts,85,B
084901,32.7,0,DICKINSON ISD,INDEPENDENT,04,12360,0.2459546926,0.6634304207,Other Central City Suburban,90,A
084902,31,0,GALVESTON ISD,INDEPENDENT,04,6486,0.287542399,0.8037311132,Other Central City Suburban,86,B
084903,37.8,0,HIGH ISLAND ISD,INDEPENDENT,05,151,0,0.5960264901,Rural,93,A
084906,34.8,1,TEXAS CITY ISD,INDEPENDENT,04,7890,0.1593155894,0.8302915082,Other Central City Suburban,89,B
084908,23.4,0,HITCHCOCK ISD,INDEPENDENT,04,1841,0.082563824,0.8386746334,Non-metropolitan Stable,92,A
084909,57.5,1,SANTA FE ISD,INDEPENDENT,04,4343,0.0766751094,0.5339626986,Other Central City Suburban,85,B
084910,43.6,0,CLEAR CREEK ISD,INDEPENDENT,04,40693,0.172634114,0.3714398054,Other Central City,84,B
084911,72.6,0,FRIENDSWOOD ISD,INDEPENDENT,04,6213,0.0360534363,0.1178174795,Other Central City Suburban,84,B
085902,30.7,0,POST ISD,INDEPENDENT,17,741,0.0985155196,0.6909581646,Rural,93,A
085903,45.4,0,SOUTHLAND ISD,INDEPENDENT,17,126,0.0079365079,0.6825396825,Rural,59,Not Rated: SB 1365
086901,45.5,1,FREDERICKSBURG ISD,INDEPENDENT,13,3094,0.2204266322,0.5998707175,Independent Town,79,C
086902,59.5,0,HARPER ISD,INDEPENDENT,15,584,0.029109589,0.3681506849,Rural,86,B
087901,71.6,0,GLASSCOCK COUNTY ISD,INDEPENDENT,18,295,0.1220338983,0.1694915254,Rural,90,A
088902,52,0,GOLIAD ISD,INDEPENDENT,03,1312,0.0167682927,0.506097561,Non-metropolitan Stable,87,B
089901,38.8,1,GONZALES ISD,INDEPENDENT,13,2605,0.2518234165,0.7117082534,Non-metropolitan Stable,85,B
089903,49.3,0,NIXON-SMILEY CISD,INDEPENDENT,13,1045,0.2248803828,0.833492823,Non-metropolitan Stable,83,B
089905,14,0,WAELDER ISD,INDEPENDENT,13,290,0.3896551724,0.9551724138,Rural,57,Not Rated: SB 1365
090902,45.2,0,LEFORS ISD,INDEPENDENT,16,187,0.0320855615,0.614973262,Rural,71,C
090903,22.8,0,MCLEAN ISD,INDEPENDENT,16,198,0.0202020202,0.6464646465,Rural,93,A
090904,26.7,0,PAMPA ISD,INDEPENDENT,16,3441,0.2127288579,0.6349898285,Non-metropolitan Stable,89,B
090905,36.1,0,GRANDVIEW-HOPKINS ISD,INDEPENDENT,16,44,0,0.0909090909,Rural,55,Not Rated: SB 1365
091901,66.1,0,BELLS ISD,INDEPENDENT,10,963,0.02596054,0.4132917965,Rural,92,A
091902,45.4,0,COLLINSVILLE ISD,INDEPENDENT,10,537,0.0800744879,0.5344506518,Rural,76,C
091903,48.4,0,DENISON ISD,INDEPENDENT,10,4868,0.1115447823,0.6228430567,Other Central City Suburban,78,C
091905,43.9,1,HOWE ISD,INDEPENDENT,10,1283,0.1551052221,0.5307872175,Other Central City Suburban,91,A
091906,20.5,0,SHERMAN ISD,INDEPENDENT,10,7767,0.3102871121,0.7897515128,Other Central City,80,B
091907,43.3,0,TIOGA ISD,INDEPENDENT,10,719,0.1001390821,0.297635605,Non-metropolitan Fast Growing,84,B
091908,56.8,1,VAN ALSTYNE ISD,INDEPENDENT,10,2285,0.0551422319,0.229321663,Other Central City Suburban,93,A
091909,37.7,1,WHITESBORO ISD,INDEPENDENT,10,1712,0.0811915888,0.5473130841,Other Central City Suburban,78,C
091910,43.6,0,WHITEWRIGHT ISD,INDEPENDENT,10,788,0.0621827411,0.5177664975,Rural,92,A
091913,57,0,POTTSBORO ISD,INDEPENDENT,10,1489,0.0141034251,0.3707186031,Other Central City Suburban,86,B
091914,27.8,0,S AND S CISD,INDEPENDENT,10,943,0.0699893955,0.4337221633,Other Central City Suburban,88,B
091917,60,0,GUNTER ISD,INDEPENDENT,10,1158,0.1018998273,0.2081174439,Non-metropolitan Fast Growing,92,A
091918,55,0,TOM BEAN ISD,INDEPENDENT,10,666,0.0660660661,0.454954955,Rural,86,B
092901,28.4,0,GLADEWATER ISD,INDEPENDENT,07,1755,0.0854700855,0.792022792,Other Central City Suburban,74,C
092902,43.7,1,KILGORE ISD,INDEPENDENT,07,3821,0.2575242083,0.7521591206,Other Central City Suburban,90,A
092903,38.2,1,LONGVIEW ISD,INDEPENDENT,07,8274,0.296108291,0.8576262993,Other Central City,91,A
092904,46.1,1,PINE TREE ISD,INDEPENDENT,07,4611,0.1884623726,0.6996313164,Other Central City Suburban,84,B
092906,43.9,1,SABINE ISD,INDEPENDENT,07,1563,0.14459373,0.5227127319,Other Central City Suburban,93,A
092907,72.1,0,SPRING HILL ISD,INDEPENDENT,07,2071,0.0656687591,0.439884114,Other Central City Suburban,94,A
092908,56.9,0,WHITE OAK ISD,INDEPENDENT,07,1440,0.0194444444,0.4513888889,Other Central City Suburban,93,A
093901,67.9,0,ANDERSON-SHIRO CISD,INDEPENDENT,06,934,0.0546038544,0.4282655246,Other Central City Suburban,88,B
093903,59.8,0,IOLA ISD,INDEPENDENT,06,587,0.0102214651,0.332197615,Rural,90,A
093904,34.5,0,NAVASOTA ISD,INDEPENDENT,06,2977,0.2710782667,0.7920725563,Other Central City Suburban,90,A
093905,39.3,0,RICHARDS ISD,INDEPENDENT,06,222,0,0.3423423423,Rural,76,C
094901,26,0,SEGUIN ISD,INDEPENDENT,20,7239,0.1606575494,0.7715154027,Other Central City Suburban,71,C
094902,23.2,0,SCHERTZ-CIBOLO-U CITY ISD,INDEPENDENT,20,15528,0.0569938176,0.3551648635,Other Central City,76,C
094903,56.5,1,NAVARRO ISD,INDEPENDENT,20,2180,0.0605504587,0.395412844,Non-metropolitan Stable,81,B
094904,54.4,0,MARION ISD,INDEPENDENT,20,1527,0.0792403405,0.4217419777,Other Central City Suburban,92,A
095901,47.9,0,ABERNATHY ISD,INDEPENDENT,17,835,0.0275449102,0.4826347305,Rural,94,A
095902,59.7,0,COTTON CENTER ISD,INDEPENDENT,17,100,0.05,0.61,Rural,89,B
095903,34.4,0,HALE CENTER ISD,INDEPENDENT,17,585,0.1076923077,0.6700854701,Rural,92,A
095904,39.1,0,PETERSBURG ISD,INDEPENDENT,17,272,0.0992647059,0.7463235294,Rural,94,A
095905,27.5,1,PLAINVIEW ISD,INDEPENDENT,17,4662,0.1591591592,0.8277563278,Independent Town,92,A
096904,38.7,0,MEMPHIS ISD,INDEPENDENT,16,432,0.1643518519,0.8217592593,Rural,85,B
096905,54.6,0,TURKEY-QUITAQUE ISD,INDEPENDENT,16,183,0.0710382514,0.5245901639,Rural,93,A
097902,48,0,HAMILTON ISD,INDEPENDENT,12,817,0.0820073439,0.5336597307,Rural,92,A
097903,52,0,HICO ISD,INDEPENDENT,12,623,0.1252006421,0.5280898876,Rural,89,B
098901,67.6,0,GRUVER ISD,INDEPENDENT,16,441,0.2925170068,0.4580498866,Rural,96,A
098903,42.1,0,PRINGLE-MORSE CISD,INDEPENDENT,16,107,0.3738317757,0.6168224299,Rural,88,B
098904,51.9,0,SPEARMAN ISD,INDEPENDENT,16,743,0.3633916555,0.5881561238,Rural,95,A
099902,23.2,0,CHILLICOTHE ISD,INDEPENDENT,09,202,0.2227722772,0.8712871287,Rural,89,B
099903,37.6,0,QUANAH ISD,INDEPENDENT,09,462,0.0346320346,0.7337662338,Rural,95,A
100903,48.3,0,KOUNTZE ISD,INDEPENDENT,05,1115,0.0466367713,0.6556053812,Non-metropolitan Stable,90,A
